UTAB;Sort Alcantara;Kompletter interiøret av Model S med vårt premium Alcantara innertrekk, et syntetisk stoff av høy kvalitet som ser ut som og føles som semsket skinn. Det dekker trimmen over vinduskarmene og solskjermene.
UTAW;Hvitt Alcantara;Kompletter interiøret av Model S med vårt premium Alcantara innertrekk, et syntetisk stoff av høy kvalitet som ser ut som og føles som semsket skinn. Det dekker trimmen over vinduskarmene og solskjermene.
UTMF;Tekstil taktrekk;Tekstil taktrekk
WT19;19";Standard med Goodyear Eagle RS-A2 høyytelses helårsdekk.
WT21;21" Turbine;Standard med Continental ExtremeContact-dekk for høy ytelse ved både våte og tørre forhold.
WTSG;21" Turbine;Standard med Continental ExtremeContact-dekk for høy ytelse ved både våte og tørre forhold.
WTSP;21" Turbine;Standard med Continental ExtremeContact-dekk for høy ytelse ved både våte og tørre forhold.
WTSS;21" Turbine;Standard med Continental ExtremeContact-dekk for høy ytelse ved både våte og tørre forhold.
WTTB;19" Cyclone;Standard med Goodyear Eagle RS-A2 høyytelses helårsdekk. 
WTW1;19” Nokian vinterhjul piggdekk;Nokian Hakkapeliitta 7 piggdekk, spesielt designet for Nordiske vinterforhold, innebyggede støtdempere som minimerer motstanden fra piggene mot veioverflaten. Dette reduserer både kabin-støy og slitasje. Inkluderer fire standard 19” felger med dekk montert.
WTW2;19” Nokian vinterhjul uten pigg;Nokian Hakkapeliitta R2 piggfrie vinterdekk, spesielt designet for Nordiske vinterforhold, har små miljøvennlige krystaller i gummien som forbedrer veigrepet på snødekte veier. Inkluderer fire standard 19” felger med dekk montert.
WTW3;19” Pirelli Vinterhjul sett;Pirelli Vinter Sottozero Series II combinerer både lav rulle-motstand og bra grep på vinter veier. Det inkluderer fire standard 19” felger med påmontert vinterdekk.
WTW4;Sett med 19" vinterdekk;Fire standard 19" hjul med påmontert Pirelli Winter Sottozero vinterdekk, størrelse 245/45-19.
WXW4;No 19" Sett med 19" vinterdekk;null
WTW5;Sett med 21" vinterdekk;Fire standard 21" hjul med påmontert Pirelli Winter Sottozero vinterdekk, størrelse 245/35-21. Vinterfelgene tilpasses din Model S.
WTX0;No 19" Michelin Primacy Tire Upgrade;null
WXW5;No 21" Sett med 21" vinterdekk;null
WXW1;No - 19" Wheels with Nokian Studded Winter Tires;Description
WXW2;No - 19" Wheels with Nokian Winter Tires;Description
WXW3;No - 19" Wheels with Pirelli Winter Tires;Description
X001;Override: Elektrisk hevet bakluke;Override: Elektrisk hevet bakluke
X002;Override: Manual Liftgate;Override: Manual Liftgate
X003;Maps & Navigation;null
X004;Override: No Navigation;Override: No Navigation
X007;LED Daytime Running Lights;null
X037;Powerfolding Mirrors;null
X010;Grunn speil;Grunn speil
X011;Override: Homelink;Override: Homelink
X012;Override: No Homelink;Override: No Homelink
X013;Override: Satellite Radio;Override: Satellite Radio
X014;Override: No Satellite Radio;Override: No Satellite Radio
X019;Karbonfiberspoiler;Ved å legge til en karbonfiber spoiler på bakluken forbedres stabiliteten ved høy fart. Den er laget av tverrvevet lettvekts karbonfiber med en matt epoxy finish.
X021;Ingen spoiler;Ingen karbonfiberspoiler
X024;Performance-pakke;Performance Package. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc ultricies fermentum velit, eget cursus turpis tristique ut. In pretium facilisis scelerisque. Nullam et dui malesuada, pretium dolor pretium, fringilla risus. Praesent id velit eget ligula aliquet varius. Suspendisse hendrerit justo urna, at blandit ipsum sodales sed.
X025;Ingen Performance-pakke;Ingen Performance-pakke
X026;Override: No LEDs/Non-Tech Pkg;Override: No LEDs/Non-Tech Pkg
X027;Lighted Door Handles;null
X028;Batterimerke;Batterimerke
X029;Fjern batterimerke;Fjern batterimerke
X030;Override: No Passive Entry Pkg;Override: No Passive Entry Pkg
X031;Keyless Entry;null
YF00;Inget Yacht-gulv;Inget Yacht-gulv
YF01;Matchende Yacht-gulv;Gjør midtkonsollen elegant med et brett med yacht-gulv som matcher bilens innredning. Gummistrimler ligger langs toppen av trimmen for bedre grep.
